topic,AI x Crypto,AI Agents,DeFi,RWA,Stablecoins,Payments,Bitcoin,Ethereum,Layer1,Layer2,Infrastructure,DePIN,Security,Privacy,Identity,Regulation,Institutional Adoption,Venture Capital,Fundraising,Consumer Crypto,Gaming,NFT,Creator Economy,Education,Developer Ecosystem,Enterprise Blockchain,Supply Chain,Social Impact,Other
AI x Crypto,17,1,0,1,0,1,0,0,0,1,3,0,1,1,0,0,0,0,0,0,1,1,4,0,0,0,0,1,0
AI Agents,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
DeFi,0,0,8,1,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,1,0,0,0,0,0,0,0
RWA,1,0,1,8,0,0,1,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
Stablecoins,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Payments,1,1,1,0,0,8,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
Bitcoin,0,0,0,1,0,0,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Ethereum,0,0,0,0,0,0,0,12,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0
Layer1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0
Layer2,1,0,0,0,0,0,0,0,0,2,2,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Infrastructure,3,0,0,2,0,0,0,4,0,2,28,0,3,2,0,0,0,0,0,3,3,0,2,0,1,0,0,4,0
DePIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Security,1,0,0,0,0,0,0,0,0,0,3,0,4,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
Privacy,1,0,0,0,0,0,0,0,0,2,2,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Identity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Regulation,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0
Institutional Adoption,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,1,8,0,0,0,0,0,0,0,0,0,0,2,0
Venture Capital,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Fundraising,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Consumer Crypto,0,0,1,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,6,0,0,1,0,0,0,0,1,0
Gaming,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
NFT,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0
Creator Economy,4,0,0,0,0,0,0,0,1,0,2,0,1,0,0,0,0,0,0,1,0,1,8,0,0,0,0,2,0
Education,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,0,0
Developer Ecosystem,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Enterprise Blockchain,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,0,0
Supply Chain,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0
Social Impact,1,1,0,1,0,1,0,12,1,0,4,0,0,0,0,0,2,0,0,1,0,0,2,0,0,0,0,23,0
Other,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54
